project,version,repetition,nsga_time,ltga_time,nsga_igd,ltga_igd,nsga_hv,ltga_hv,nsga_faults,ltga_faults
sed,v1,1,5.696127,7.549065000000001,0.037809035452516876,0.018917206955676676,0.9609923416734392,0.9956642232117924,0.7787202045917689,0.7839540992132483
sed,v1,2,5.774608000000001,7.387102000000002,0.04912714488046956,0.07248662938113876,0.9556829466650635,0.9574915849880673,0.77360286022996,0.7846267664963646
sed,v1,3,5.875582000000001,7.419317999999997,0.06229003465260413,0.009956807093476419,0.9478009680867407,0.9991204830907453,0.7715534189431256,0.7866385792867592
sed,v1,4,5.866441000000002,8.061252999999994,0.13266241080850888,0.09269404998886255,0.8908782789939198,0.9334182595426201,0.7581537073474295,0.7691018616396393
sed,v1,5,5.809531999999997,7.586727000000003,0.08975497381934265,0.12029487756632318,0.9141950082412515,0.9155628755347719,0.7585707798669882,0.7691200095143147
sed,v1,6,5.834657000000007,7.412931,0.06062215003869445,0.049232804482957686,0.9247293058018913,0.971115847093639,0.7573098929829385,0.7837932525930748
sed,v1,7,5.749549000000002,7.335347999999996,0.1538073624471734,0.06306380759773308,0.8419543405914494,0.9375022861128934,0.7367992919359903,0.7752522736476444
sed,v1,8,5.804541,7.514622000000003,0.05569371585892463,0.012764170132852444,0.9457498692386633,1.000131226710541,0.7700089998463441,0.7942266021279747
sed,v1,9,5.814386999999996,7.6658529999999985,0.06245035146422931,0.019274524495979915,0.9563748023439602,1.0001128018160885,0.7837404531234525,0.7901208398976186
sed,v1,10,5.807545000000005,7.505786999999998,0.09407744515096149,0.08871372057943114,0.8776145177568184,0.924931783226483,0.7390662688256069,0.7625593348479833
sed,v1,11,5.773424000000006,7.4764299999999935,0.13706440565994413,0.11112699311856143,0.8225924158753626,0.9234562988050525,0.7303514215276354,0.7723364386871729
sed,v1,12,5.764044000000013,7.411236000000002,0.1457188147858126,0.035387025923610385,0.8803755336316196,0.9771956700273704,0.7528530834049907,0.7851736993589316
sed,v1,13,6.126388999999989,7.526280000000014,0.19142150568893576,0.038886783334837624,0.816659906713455,0.9834630826148183,0.7285500896082618,0.7751904411262787
sed,v1,14,5.864148999999998,7.451553000000018,0.10486116216527808,0.06623827977698692,0.8840231360051417,0.945590070861847,0.7551008495483786,0.7635551997662524
sed,v1,15,5.785084000000012,8.097184999999996,0.11982025337901378,0.024643940215343784,0.8886595441217087,0.9967718401968604,0.7553114858120408,0.7900742339022498
sed,v1,16,6.107779999999991,7.611507000000017,0.16078571325062546,0.059643918713042816,0.8533014384667297,0.9363668277875081,0.7427074171232635,0.7636727556487759
sed,v1,17,5.774714000000017,7.571764999999999,0.15747727670955042,0.04447726705218027,0.8655614899358949,0.9585935714438576,0.746683248253669,0.7766618542027331
sed,v1,18,5.8349500000000205,7.3934150000000045,0.09958512684847218,0.17445034655315392,0.8676228507866401,0.8452404144628075,0.7352393226557756,0.7378918909505231
sed,v1,19,5.845495,7.645098000000019,0.1460021174386417,0.0395363859286024,0.8638453154661343,0.9701381509259969,0.7489489119512631,0.8135461973372765
sed,v1,20,5.800142999999991,7.509127999999976,0.13070191596244848,0.1544455474984672,0.8950915000269487,0.8715508718817052,0.7609310228854788,0.753314430267404
