project,version,repetition,nsga_time,ltga_time,nsga_igd,ltga_igd,nsga_hv,ltga_hv,nsga_faults,ltga_faults
bash,v3,1,19.886289999999917,32.25641599999972,0.26421068403425835,0.11719482050799408,0.4072454002542261,0.5949014316977982,0.6437109274598593,0.8598577038633977
bash,v3,2,19.855683000000226,32.48231900000019,0.2854131710696355,0.10558237622345203,0.36542905139932264,0.6097205578383246,0.5972367607629273,0.7866768473094744
bash,v3,3,20.112796000000344,32.669382999999925,0.26232664821023943,0.15523899729529067,0.3734395618744127,0.6725315391347829,0.5538672947273955,0.7495044383299371
bash,v3,4,20.43622000000005,33.44714000000022,0.2839194022342963,0.13060343571418495,0.3754078242721905,0.6064303741188705,0.7069375204471358,0.8930853503259135
bash,v3,5,19.845346000000063,31.75110199999972,0.3096560627645276,0.11483100396637752,0.31417382618145673,0.6341463119513586,0.6567211600762051,0.8450984898090976
bash,v3,6,20.123519000000215,33.31165800000008,0.25882068821642845,0.10907821497693462,0.3782620629874681,0.6270697521516557,0.6951243005373541,0.8876245459440476
bash,v3,7,20.020983000000342,33.266643999999815,0.305748197523798,0.1409668695926332,0.35054412727586703,0.590079888487818,0.7201963987714683,0.8817223088766322
bash,v3,8,20.025120000000243,33.320174999999836,0.3061914468393801,0.12329200986035883,0.3486536377833898,0.6978439174339156,0.6793496493952181,0.9094295137461926
bash,v3,9,20.049335000000156,32.340764000000036,0.2855974857893718,0.11288610081172397,0.3617453727273081,0.6006105715241732,0.7409544126806158,0.883960794750711
bash,v3,10,20.541591000000153,32.614804999999706,0.27263697079862653,0.12092784598761458,0.37312878567134367,0.6255882974980386,0.7155453403977358,0.6120095075927784
bash,v3,11,20.009557999999743,32.19391999999971,0.21306906601052422,0.10120768724798691,0.394540939394899,0.646397022434763,0.570576947213327,0.8469589282102771
bash,v3,12,20.572129000000132,33.468871000000036,0.2978752377447007,0.11633223451334193,0.3543462441116368,0.6152900096470431,0.7229764521710057,0.8940299672924781
bash,v3,13,20.29632500000025,31.98328700000002,0.2641055223727972,0.12430374236052458,0.36220597184657916,0.6041841406320669,0.6788989626483739,0.8721303003369204
bash,v3,14,20.199027000000115,32.72883600000023,0.29821578023238343,0.10701206227851862,0.33140426692572605,0.667438215128328,0.6657051919736938,0.8630912383521577
bash,v3,15,20.351083000000017,31.824903000000177,0.28228159391300783,0.20535651488944132,0.3345120531360687,0.4628769517036415,0.5547108225397497,0.8261095769476232
bash,v3,16,20.603462000000036,31.88900199999989,0.283870184275273,0.11051345304888206,0.370637157409778,0.6122745133863834,0.6731235946801013,0.8519647503962653
bash,v3,17,20.41887299999962,32.54045899999983,0.3030259970025762,0.16089332901451303,0.3486967205731973,0.5278507539650273,0.686722042060492,0.754428716398445
bash,v3,18,20.430481999999756,31.41399700000011,0.26478284599666835,0.12451942249214226,0.3907042477008368,0.6938804614667122,0.4319546129197509,0.9083210794912031
bash,v3,19,20.534418000000187,33.307520999999724,0.2944593927397479,0.17906393333204643,0.36828697732351257,0.5181711767062833,0.6663176415918429,0.8080536073310362
bash,v3,20,20.121204000000034,33.73936500000036,0.2774946521879824,0.14627526134435478,0.3436361555482642,0.5341223463327898,0.7373295042837946,0.8201534750277065
